compute008
3
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/torch/nn/functional.py:1992: UserWarning: reduction: 'mean' divides the total loss by both the batch size and the support size.'batchmean' divides only by the batch size, and aligns with the KL div math definition.'mean' will be changed to behave the same as 'batchmean' in the next major release.
  warnings.warn("reduction: 'mean' divides the total loss by both the batch size and the support size."
Epoch: 01 | Batch: 000 | CrossEntropy-loss: -0.24532 | Difference: 1280
Epoch: 01 | Batch: 100 | CrossEntropy-loss: -0.24750 | Difference: 1280
Epoch: 01 | Batch: 200 | CrossEntropy-loss: -0.25599 | Difference: 1280
Epoch: 01 | Batch: 300 | CrossEntropy-loss: -0.26518 | Difference: 1280
Epoch: 01 | Batch: 400 | CrossEntropy-loss: -0.28033 | Difference: 1280
Epoch: 01 | Batch: 500 | CrossEntropy-loss: -0.29400 | Difference: 1280
Epoch: 01 | Batch: 600 | CrossEntropy-loss: -0.30284 | Difference: 1280
Epoch: 01 | Batch: 700 | CrossEntropy-loss: -0.30469 | Difference: 1280
Epoch: 01 | Batch: 800 | CrossEntropy-loss: -0.31106 | Difference: 1280
Epoch: 01 | Batch: 900 | CrossEntropy-loss: -0.31241 | Difference: 1280
Epoch: 01 | Batch: 1000 | CrossEntropy-loss: -0.31206 | Difference: 1280
Epoch: 01 | Batch: 1100 | CrossEntropy-loss: -0.31513 | Difference: 1280
Epoch: 01 | Batch: 1200 | CrossEntropy-loss: -0.31893 | Difference: 1280
Epoch: 01 | Batch: 1300 | CrossEntropy-loss: -0.31611 | Difference: 1280
Epoch: 01 | Batch: 1400 | CrossEntropy-loss: -0.31793 | Difference: 1280
Epoch: 02 | Batch: 000 | CrossEntropy-loss: -0.31863 | Difference: 1280
Epoch: 02 | Batch: 100 | CrossEntropy-loss: -0.32070 | Difference: 1280
Epoch: 02 | Batch: 200 | CrossEntropy-loss: -0.31855 | Difference: 1280
Epoch: 02 | Batch: 300 | CrossEntropy-loss: -0.32225 | Difference: 1280
Epoch: 02 | Batch: 400 | CrossEntropy-loss: -0.32117 | Difference: 1280
Epoch: 02 | Batch: 500 | CrossEntropy-loss: -0.32084 | Difference: 1280
Epoch: 02 | Batch: 600 | CrossEntropy-loss: -0.32142 | Difference: 1280
Epoch: 02 | Batch: 700 | CrossEntropy-loss: -0.32067 | Difference: 1280
Epoch: 02 | Batch: 800 | CrossEntropy-loss: -0.32260 | Difference: 1280
Epoch: 02 | Batch: 900 | CrossEntropy-loss: -0.32118 | Difference: 1280
Epoch: 02 | Batch: 1000 | CrossEntropy-loss: -0.32463 | Difference: 1280
Epoch: 02 | Batch: 1100 | CrossEntropy-loss: -0.32365 | Difference: 1280
