compute003
5
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
{'input_dim': 8, 'output_dim': 4, 'depth': 5, 'lamda': -0.001, 'lr': 0.001, 'weight_decay': 0.0, 'batch_size': 1280, 'epochs': 40, 'cuda': True, 'log_interval': 100, 'exp_scheduler_gamma': 1.0, 'beta': True, 'greatest_path_probability': True, 'model_path': './model/trees/sdt_-0.001_id1'}
Epoch: 01 | Batch: 000 | CrossEntropy-loss: 1.38764 | Correct: 610/1280 | Difference: 0.9989358210859087
Epoch: 01 | Batch: 100 | CrossEntropy-loss: 1.27943 | Correct: 649/1280 | Difference: 0.9976536562346972
Epoch: 01 | Batch: 200 | CrossEntropy-loss: 1.18969 | Correct: 648/1280 | Difference: 0.9590948078243008
Epoch: 01 | Batch: 300 | CrossEntropy-loss: 1.09539 | Correct: 959/1280 | Difference: 0.9330507755373394
Epoch: 01 | Batch: 400 | CrossEntropy-loss: 0.99008 | Correct: 906/1280 | Difference: 0.923457652239901
Epoch: 01 | Batch: 500 | CrossEntropy-loss: 0.89123 | Correct: 919/1280 | Difference: 0.9138095647075131
Epoch: 01 | Batch: 600 | CrossEntropy-loss: 0.80074 | Correct: 919/1280 | Difference: 0.9112170052931546
Epoch: 01 | Batch: 700 | CrossEntropy-loss: 0.77299 | Correct: 922/1280 | Difference: 0.9075642031856795
Epoch: 01 | Batch: 800 | CrossEntropy-loss: 0.70038 | Correct: 968/1280 | Difference: 0.8998396807288151
Epoch: 01 | Batch: 900 | CrossEntropy-loss: 0.72391 | Correct: 936/1280 | Difference: 0.8875614746690588
Epoch: 01 | Batch: 1000 | CrossEntropy-loss: 0.68050 | Correct: 949/1280 | Difference: 0.8735364867312873
Epoch: 01 | Batch: 1100 | CrossEntropy-loss: 0.65138 | Correct: 955/1280 | Difference: 0.8599697168855196
Epoch: 01 | Batch: 1200 | CrossEntropy-loss: 0.67528 | Correct: 923/1280 | Difference: 0.8489038107518677
Epoch: 01 | Batch: 1300 | CrossEntropy-loss: 0.61512 | Correct: 963/1280 | Difference: 0.8414278832180574
Epoch: 01 | Batch: 1400 | CrossEntropy-loss: 0.65178 | Correct: 922/1280 | Difference: 0.8392413898137973
Epoch: 01 | Batch: 1500 | CrossEntropy-loss: 0.61790 | Correct: 947/1280 | Difference: 0.8398982139037636

Epoch: 01 | Testing Accuracy: 380277/504607 (75.361%) | Historical Best: 75.361% 

Epoch: 02 | Batch: 000 | CrossEntropy-loss: 0.58646 | Correct: 970/1280 | Difference: 0.8424262754713475
Epoch: 02 | Batch: 100 | CrossEntropy-loss: 0.60809 | Correct: 955/1280 | Difference: 0.8438218157868265
Epoch: 02 | Batch: 200 | CrossEntropy-loss: 0.57995 | Correct: 964/1280 | Difference: 0.8465016796387006
